ID,Show,Title,Artist,JD,Hunter,Steve,Dave,YACHTSKI,Cover Art
139,YON36,Fool If You Think It's Over,Chris Rea,42,42,34,42,40,https://i.scdn.co/image/a087b71c0a087309639da84581e5bf04a33760a5
140,BYR70,Arthur's Theme (Best You Can Do),Christopher Cross,50,56,62,57,56.25,https://i.scdn.co/image/a6769fd0c2e99bff3b17f9e4a0d81f7e25f6a874
145,YON69,I Really Don't Know Anymore,Christopher Cross,90,89,92,87,89.5,https://i.scdn.co/image/c344aa116fbe04782135a7914c11554ae430ce84
144,YON68,Never Be The Same,Christopher Cross,91,90,92,91,91,https://i.scdn.co/image/c344aa116fbe04782135a7914c11554ae430ce84
142,YON19,All Right,Christopher Cross,98,88,94,94,93.5,https://i.scdn.co/image/68b94c4df4a882f8db8fb3a5ce47abeb3ef01172
143,YON29,Ride Like the Wind,Christopher Cross,91,95,94,95,93.75,https://i.scdn.co/image/c344aa116fbe04782135a7914c11554ae430ce84
141,YON01,Sailing,Christopher Cross,90,100,98,90,94.5,https://i.scdn.co/image/c344aa116fbe04782135a7914c11554ae430ce84
146,BYR02,Cannonball Run Theme,Chuck Mangione,32,39,33,38,35.5,https://i.scdn.co/image/7af25140ee334e5b1d017e6517634ca1e2285dd3
147,YON05,Feels So Good,Chuck Mangione,37,43,40,58,44.5,https://i.scdn.co/image/9f6021e5e9fcf064369be922084a5852862c70c4
148,BYR24,Didn't Wanna Hurt Cha For Another Guy,"Chunky, Novi & Ernie",62,65,60,63,62.5,https://i.scdn.co/image/2cdd7f992c9e7934341392d71d722d243b5001d1
150,YON69,Devil Woman,Cliff Richard,19,20,30,15,21,https://i.scdn.co/image/80a495972860bb09023f9fb54ea5301aed707bc1
149,YON21,We Don't Talk Anymore,Cliff Richard,49,49,49,43,47.5,https://i.scdn.co/image/f1d740d5545c59b0c9e8e89b39c328279e68258f
151,YON12,I Love You,Climax Blues Band,14,24,19,20,19.25,https://i.scdn.co/image/d349423db678316af937ec33495f9d67b9b16729
152,YON33,Couldn't Get It Right,Climax Blues Band,35,40,36,38,37.25,https://i.scdn.co/image/435f7c357f3cda2cde62188b0c547fadebbde6a7
154,YON45,Nightshift,Commodores,38,42,32,42,38.5,https://i.scdn.co/image/518594ea80461b26bcfb0a2d0ce3c4e37ca7a459
153,YON09,Sail On,Commodores,45,49,31,35,40,https://i.scdn.co/image/c97bef783c9ac6de5649e30a49241833a125a3f3
155,YON41,California 1,Con Funk Shun,48,50,39,45,45.5,https://i.scdn.co/image/de952e475e0964efd987dcdc656b6de4f2fae7ee
156,YON39,On The Wing,Crackin',59,61,59,58,59.25,https://i.scdn.co/image/414b8339b79829d50056fcb9f09ea815be6e5fa6
159,YON70,Just a Song Before I Go,"Crosby, Stills & Nash",12,9,15,10,11.5,https://i.scdn.co/image/2a399bdefb6d6b5a856e4e496815462ae8982cfb
157,BYR10,Southern Cross,"Crosby, Stills & Nash",33,39,25,28,31.25,https://i.scdn.co/image/aefdd1a3e54dd2f7d61f709bc816ea333c4182f7
158,YON52,Since I Met You,"Crosby, Stills & Nash",45,35,33,32,36.25,https://i.scdn.co/image/aefdd1a3e54dd2f7d61f709bc816ea333c4182f7
160,YON43,Street Life,Crusaders,46,48,52,43,47.25,https://i.scdn.co/image/9e019543e7a324133aece4430d4f8cb9c26f3bdc
161,YON38,Tripping Out,Curtis Mayfield,24,29,21,22,24,https://i.scdn.co/image/08072ca2f6472142d192ceed98a13dca75a3bac1
162,YON60,Fragments of Time,Daft Punk,75,63,75,58,67.75,https://i.scdn.co/image/405ee050d1976448c600cb9648e491e31ef87aed
164,YON41,Heart Hotels,Dan Fogelberg,37,41,31,28,34.25,https://i.scdn.co/image/ae8c0f3dc39e9857cbefd1771fe61189416086c4
